City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
2,Kapaa,US,77.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Dwarka,IN,82.92,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
7,Tondano,ID,68.09,broken clouds,1.3038,124.9112,Villa Bella
8,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
9,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
12,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
19,Antsohihy,MG,77.0,broken clouds,-14.8796,47.9875,Hotel de Ville
23,Arrecife,ES,73.38,few clouds,28.963,-13.5477,Hotel Lancelot
25,Karratha,AU,78.31,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
30,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
32,Aransas Pass,US,77.0,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
34,Laguna,US,82.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
35,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Kota Tinggi,MY,80.64,broken clouds,1.7381,103.8999,Canopy Tribe
41,Kulhudhuffushi,MV,83.43,scattered clouds,6.6221,73.07,Haajy Guest House 1
44,Teknaf,BD,82.11,broken clouds,20.8624,92.3058,Forestry Guesthouse
48,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Huzhou,CN,66.13,light rain,30.8703,120.0933,Huzhou Plaza Hotel
57,Ulaangom,MN,65.07,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
64,Rikitea,PF,75.92,light rain,-23.1203,-134.9692,People ThankYou
65,Tezu,IN,70.57,clear sky,27.9167,96.1667,Circuit House
69,Faanui,PF,80.51,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Joao Pinheiro,BR,77.13,scattered clouds,-17.7425,-46.1725,Hotel Santos
71,Hithadhoo,MV,83.89,broken clouds,-0.6,73.0833,Scoop Guest House
72,Isugod,PH,79.18,overcast clouds,9.3408,118.1196,
74,Namibe,AO,70.02,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
77,Paraiso,CR,75.11,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
79,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Isangel,VU,75.16,few clouds,-19.55,169.2667,Tanna Lodge
81,Nabire,ID,75.2,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
85,Murgab,TM,66.07,clear sky,37.4966,61.9714,Wepa Nurlyýew
87,Orangeburg,US,83.91,scattered clouds,33.4918,-80.8557,Palmetto Inn & Suites
93,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
100,Cape Town,ZA,65.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
102,Shihezi,CN,77.38,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
103,Buxar,IN,83.98,scattered clouds,25.5833,83.9833,Honda Service Center
104,Ahuimanu,US,77.86,broken clouds,21.4447,-157.8378,Paradise Bay Resort
105,Boa Vista,BR,75.18,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
107,Dhidhdhoo,MV,83.66,broken clouds,6.8833,73.1,Dhidhoo beach
112,Manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
113,Lasa,IT,71.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
117,Kieta,PG,77.97,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
119,Ortigueira,BR,67.8,clear sky,-24.2083,-50.9494,Village das Araucárias
126,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
127,Carnarvon,AU,71.49,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
129,Ribeira Grande,PT,66.6,light intensity drizzle,38.5167,-28.7,Quinta da Meia Eira
131,Aswan,EG,84.34,clear sky,24.0934,32.907,Nuba Nile
134,Sabang,ID,83.77,overcast clouds,5.8933,95.3214,Hotel Citra
135,La Libertad,EC,75.83,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
136,Buala,SB,79.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
137,Arraial Do Cabo,BR,71.65,clear sky,-22.9661,-42.0278,Pousada Porto Praia
141,Carutapera,BR,81.54,few clouds,-1.195,-46.02,Lidera
142,Nyimba,ZM,71.82,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
143,Aztec,US,72.48,overcast clouds,36.8222,-107.9929,Presidential Inn & Suites
145,Pekalongan,ID,78.8,broken clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
146,Samarai,PG,80.31,scattered clouds,-10.6167,150.6667,Nuli Sapi
150,Rocha,UY,65.62,clear sky,-34.4833,-54.3333,Hotel Arrarte
156,San Cristobal,VE,84.25,few clouds,7.7669,-72.225,Pirineos
157,Abonnema,NG,77.79,light rain,4.7084,6.7931,Corper's Lodge Obonoma
161,Winslow,US,77.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
164,Soc Trang,VN,78.26,overcast clouds,9.6033,105.98,Phu Quy Hotel
165,Nouakchott,MR,69.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN
167,Poum,NC,77.97,broken clouds,-20.2333,164.0167,
169,Mareeba,AU,68.72,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
170,Butaritari,KI,81.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
171,Ambanja,MG,75.4,light rain,-13.6833,48.45,Hotel Salama and Fast Food
172,Mabaruma,GY,81.7,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
173,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
175,Illapel,CL,71.64,broken clouds,-31.6308,-71.1653,Hotel Londres
177,Fuyang,CN,65.91,broken clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
178,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
180,Meulaboh,ID,78.1,overcast clouds,4.1363,96.1285,Kost Pria
184,Loa Janan,ID,73.51,overcast clouds,-0.583,117.095,Ss
186,Duobao,CN,65.03,broken clouds,30.67,112.6895,Yongsheng Hotel
187,Sola,VU,80.71,few clouds,-13.8833,167.55,Leumerus Bungalows
191,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Yenagoa,NG,77.02,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
