City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,17.27,few clouds
1,Hermanus,ZA,-34.4187,19.2345,60.53,86,37,8.28,scattered clouds
2,Kapaa,US,22.0752,-159.319,77.11,85,56,1.99,broken clouds
3,Dwarka,IN,22.2394,68.9678,82.92,83,48,23.2,scattered clouds
4,Minas,UY,-34.3759,-55.2377,64.15,53,37,5.44,scattered clouds
5,Tiksi,RU,71.6872,128.8694,30.51,88,100,5.93,overcast clouds
6,Cherskiy,RU,68.75,161.3,48.31,57,80,9.66,broken clouds
7,Tondano,ID,1.3038,124.9112,68.09,88,81,2.17,broken clouds
8,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,20,1.28,few clouds
9,Dingle,PH,10.9995,122.6711,77.43,89,97,4.27,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,34.32,93,100,9.22,light snow
11,Saldanha,ZA,-33.0117,17.9442,59.05,85,83,6.6,broken clouds
12,Vaini,TO,-21.2,-175.2,73.56,94,20,4.61,few clouds
13,Qaanaaq,GL,77.484,-69.3632,24.84,75,100,2.35,overcast clouds
14,Lancaster,US,40.2504,-76.2499,90.79,59,64,4.0,broken clouds
15,Grand Gaube,MU,-20.0064,57.6608,75.6,78,1,1.99,light rain
16,Khatanga,RU,71.9667,102.5,32.07,93,100,7.02,overcast clouds
17,Clyde River,CA,70.4692,-68.5914,19.63,93,100,35.68,heavy snow
18,Port Elizabeth,ZA,-33.918,25.5701,58.1,88,0,3.44,clear sky
19,Antsohihy,MG,-14.8796,47.9875,77.0,61,84,7.61,broken clouds
20,Puchezh,RU,56.9788,43.1676,38.7,64,99,11.5,overcast clouds
21,Bethel,US,41.3712,-73.414,91.35,62,53,4.0,broken clouds
22,Avera,US,33.194,-82.5271,86.56,42,66,12.39,broken clouds
23,Arrecife,ES,28.963,-13.5477,73.38,64,20,24.16,few clouds
24,Mount Isa,AU,-20.7333,139.5,62.37,77,79,5.75,broken clouds
25,Karratha,AU,-20.7377,116.8463,78.31,75,100,5.26,overcast clouds
26,Coahuayana,MX,18.7333,-103.6833,89.73,47,49,7.72,scattered clouds
27,Novokruchininskiy,RU,51.7833,113.7667,55.13,60,2,11.68,clear sky
28,Ixtapa,MX,20.7,-105.2,94.84,29,14,6.73,few clouds
29,Hobart,AU,-42.8794,147.3294,50.25,84,100,11.5,overcast clouds
30,Hilo,US,19.7297,-155.09,80.28,77,65,4.0,broken clouds
31,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,few clouds
32,Aransas Pass,US,27.9095,-97.15,77.0,90,0,20.71,clear sky
33,Cidreira,BR,-30.1811,-50.2056,63.45,63,100,4.45,overcast clouds
34,Laguna,US,38.421,-121.4238,82.29,35,0,4.0,clear sky
35,Mahebourg,MU,-20.4081,57.7,75.49,73,40,12.66,scattered clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,100,8.05,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,38.86,87,0,4.61,clear sky
38,Kota Tinggi,MY,1.7381,103.8999,80.64,90,64,1.63,broken clouds
39,Barao De Melgaco,BR,-16.1944,-55.9675,91.99,21,16,1.12,few clouds
40,Hovd,MN,48.0056,91.6419,64.53,20,100,2.1,overcast clouds
41,Kulhudhuffushi,MV,6.6221,73.07,83.43,78,37,14.34,scattered clouds
42,Mataura,NZ,-46.1927,168.8643,44.26,92,100,7.23,overcast clouds
43,Sydney,AU,-33.8679,151.2073,56.71,84,75,10.36,thunderstorm with light rain
44,Teknaf,BD,20.8624,92.3058,82.11,86,69,6.55,broken clouds
45,Bluff,NZ,-46.6,168.3333,49.86,72,93,22.62,overcast clouds
46,Aklavik,CA,68.2191,-135.0107,26.6,80,100,5.75,light snow
47,Sakakah,SA,29.9697,40.2064,94.57,23,82,21.09,broken clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,49,10.65,scattered clouds
49,Constitucion,CL,-35.3333,-72.4167,55.0,79,100,8.05,light rain
50,Port Lincoln,AU,-34.7333,135.8667,61.68,78,94,10.58,overcast clouds
51,Poopo,BO,-18.3667,-66.9667,50.14,14,12,14.9,few clouds
52,Ostrovnoy,RU,68.0531,39.5131,31.39,77,7,11.52,clear sky
53,Huzhou,CN,30.8703,120.0933,66.13,80,100,5.28,light rain
54,New Norfolk,AU,-42.7826,147.0587,49.91,82,99,2.48,overcast clouds
55,Port Alfred,ZA,-33.5906,26.891,56.17,91,38,2.42,scattered clouds
56,Upernavik,GL,72.7868,-56.1549,33.67,97,100,1.7,overcast clouds
57,Ulaangom,MN,49.9811,92.0667,65.07,28,90,6.11,overcast clouds
58,Chuy,UY,-33.6971,-53.4616,64.35,52,0,4.43,clear sky
59,Srednekolymsk,RU,67.45,153.6833,48.74,55,100,8.16,overcast clouds
60,Jamestown,US,42.097,-79.2353,58.64,94,100,17.27,overcast clouds
